,app_id,image,caption
0,ai.askway.com,../data/merged_images\ai.askway.com.jpg,SKWay-AI Chat&Assistant experiencepowered chatgpt create ai feelings concerns infinitely potential mirror
1,ai.cloudmall.android,../data/merged_images\ai.cloudmall.android.jpg,CloudM cloudmall price compare app com 107647900659652instagram sporting goods dresses blouses
2,ai.socialapps.speakmaster,../data/merged_images\ai.socialapps.speakmaster.jpg,.AI - Create AI Chat Bot chatbots use app changes make feel length frequency private share
3,app.duomevideochat.candy,../data/merged_images\app.duomevideochat.candy.jpg,DuoMe Candy - Live Video Chat candy connect friendships accessible globe app speak different moments build
4,app.duomevideochat.chat,../data/merged_images\app.duomevideochat.chat.jpg,DuoMe Chat - Live Video Chat chat enjoyable passport making global features match users private
5,app.duomevideochat.india,../data/merged_images\app.duomevideochat.india.jpg,DuoMe IN - Live Video Chat online chatting joy appreciation create borderless people follow key features
6,app.duomevideochat.live,../data/merged_images\app.duomevideochat.live.jpg,DuoMe Live - Video C live communicate friends different captivating match discover key features
7,app.duomevideochat.pro,../data/merged_images\app.duomevideochat.pro.jpg,DuoMe Pro - Live Video Chat online chatting discover joy pro match instantly random protection features
8,app.duomevideochat.sugar,../data/merged_images\app.duomevideochat.sugar.jpg,DuoMe Sugar - Live Video Chat sugar enjoy online interactions try discover languages making day add
9,app.locker.android.app,../data/merged_images\app.locker.android.app.jpg,Lock - Lock & Unlock protected app function function bar longer natural turn disk files
10,app.rely.dependent,../data/merged_images\app.rely.dependent.jpg,Roulette J roulette joy game starts turtle shell fail fail drinking paying
11,app.tiantong.twinkle,../data/merged_images\app.tiantong.twinkle.jpg,Twink sing chat twinkle ultra cross room features group unhappiness making
12,app.vault.android.app,../data/merged_images\app.vault.android.app.jpg,Calculator Vault data security vault easy calculator forgot synchronization videos audios
13,bcom.rrdianshiase.table,../data/merged_images\bcom.rrdianshiase.table.jpg,Tug Tab game blue red character pairing stop laugh programmers want
14,bibleKJV.bible.kingjamesbible,../data/merged_images\bibleKJV.bible.kingjamesbible.jpg,"Bible - Study, Audio & Quiz bible free connected internet providentially appointed spacings customize day motivating"
15,cards.collectemall,../data/merged_images\cards.collectemall.jpg,Collect em collecting cards collections complete game fun make money remember goal
16,cash.efectivo.okredito.prestamos.tala.credito.oxxo,../data/merged_images\cash.efectivo.okredito.prestamos.tala.credito.oxxo.jpg,réstamo Rápido-crédit loan information emergency quickly cell phone oxxo2 complete 8123297043facebook https
17,cash.meprestamo.tala.credito.oxxo.efectivo.okreditopeso.cashcash.prestamo,../data/merged_images\cash.meprestamo.tala.credito.oxxo.efectivo.okreditopeso.cashcash.prestamo.jpg,Meprestamo-Préstamo en Méxic meprestamoo borrow mexican citizens online non needs features total paid
